Algorithm,Level,Time,Memory,Moves
Bfs,1,0.0009202957153320312,123.05859375,6
Bfs,2,0.03591632843017578,124.18359375,23
Bfs,3,0.0017745494842529297,124.43359375,8
Bfs,4,0.32477855682373047,132.55859375,19
Bfs,5,0.1408843994140625,132.296875,21
Bfs,6,1.877953290939331,148.07421875,40
Bfs,7,28.33128809928894,460.76953125,46

# Weight = 2
Weighted A*,1,0.0014369487762451172,123.1875,6
Weighted A*,2,0.026559829711914062,123.8125,23
Weighted A*,3,0.001737356185913086,124.0625,8
Weighted A*,4,0.0567171573638916,124.6875,19
Weighted A*,5,0.010696172714233398,124.28125,21
Weighted A*,6,0.458751916885376,125.28125,40
Weighted A*,7,2.990429639816284,127.90625,46

# Weight = 3
Weighted A*,1,0.0007245540618896484,123.30078125,6
Weighted A*,2,0.0027365684509277344,123.80078125,23
Weighted A*,3,0.0010764598846435547,124.05078125,8
Weighted A*,4,0.011912822723388672,124.55078125,19
Weighted A*,5,0.0041904449462890625,124.171875,21
Weighted A*,6,0.3914644718170166,125.421875,40
Weighted A*,7,1.1442146301269531,126.171875,46

Greedy,1,0.0011363029479980469,123.3125,6
Greedy,2,0.0018644332885742188,123.8125,23
Greedy,3,0.0014429092407226562,124.0625,10
Greedy,4,0.023030996322631836,124.5625,19
Greedy,5,0.007411479949951172,124.17578125,21
Greedy,6,0.05578279495239258,124.30078125,42
Greedy,7,27.49825429916382,134.71875,46

# Weight = 2, with Penalties
Weighted A*,1,0.00042629241943359375,123.05859375,6
Weighted A*,2,0.002250194549560547,123.55859375,23
Weighted A*,3,0.002714872360229492,123.80859375,8
Weighted A*,4,0.026865482330322266,124.43359375,19
Weighted A*,5,0.010662317276000977,123.94140625,21
Weighted A*,6,0.2927701473236084,124.94140625,42
Weighted A*,7,1.5766477584838867,126.81640625,46

# Weight = 3, with Penalties
Weighted A*,1,0.0012822151184082031,123.05859375,6
Weighted A*,2,0.003317594528198242,123.55859375,23
Weighted A*,3,0.0017049312591552734,123.80859375,8
Weighted A*,4,0.011915206909179688,124.43359375,19
Weighted A*,5,0.006791830062866211,123.734375,21
Weighted A*,6,0.2954239845275879,124.734375,42
Weighted A*,7,1.5894181728363037,126.734375,46

Greedy,1,0.0005543231964111328,123.3203125,6
Greedy,2,0.0016252994537353516,123.8203125,23
Greedy,3,0.0007531642913818359,124.0703125,10
Greedy,4,0.02656388282775879,124.6953125,19
Greedy,5,0.004071950912475586,123.92578125,21
Greedy,6,0.06062459945678711,124.17578125,42
Greedy,7,18.959683179855347,134.60546875,46
Bfs,1,0.00099945068359375,56.25,6

Bfs,1,0.0009968280792236328,54.96484375,6

Bfs,1,0.0012574195861816406,54.7578125,6

Bfs,2,0.05000615119934082,56.00390625,23

Bfs,1,0.003007650375366211,55.1171875,6

Bfs,1,0.0009992122650146484,55.58203125,6

Bfs,1,0.001277923583984375,54.83984375,6

Bfs,1,0.0019998550415039062,54.78125,6

Bfs,1,0.0010123252868652344,55.41796875,6

Bfs,2,0.04899024963378906,56.4609375,23

Dfs,1,0.001984119415283203,56.61328125,8

Bfs,1,0.002000093460083008,56.61328125,6

IDDfs,1,0.004021644592285156,56.6328125,6

A*,1,0.0030014514923095703,56.66015625,6

Uniform,1,0.006636142730712891,56.6640625,6

Greedy,1,0.0010025501251220703,56.67578125,6

Weighted A*,1,0.002007007598876953,56.66015625,6

IDA*,1,0.0010001659393310547,56.703125,6

Bfs,1,0.0,56.49609375,6

Bfs,2,0.022322893142700195,57.54296875,23

Bfs,3,0.0017747879028320312,57.734375,8

Bfs,4,0.22593235969543457,64.1796875,19

Bfs,5,0.0895085334777832,64.19140625,21

Bfs,6,1.338304042816162,75.44140625,40

Bfs,7,20.03203558921814,299.421875,46

Dfs,1,0.0,55.5390625,8

Dfs,2,0.0046176910400390625,56.19921875,32

Dfs,3,0.0,56.37890625,12

Dfs,4,1.2187669277191162,72.71484375,903

Dfs,3,0.0,72.73046875,12

Dfs,4,1.1895372867584229,73.625,903

Dfs,5,0.672558069229126,73.703125,689

Dfs,6,9.805270195007324,147.48046875,388

IDDfs,1,0.0010001659393310547,55.83984375,6

IDDfs,1,0.0023505687713623047,56.3671875,6

IDDfs,2,0.19933724403381348,56.87890625,23

IDDfs,3,0.00852060317993164,56.890625,10

IDDfs,4,0.8542811870574951,58.015625,25

IDDfs,5,0.12697458267211914,58.58203125,21

IDDfs,6,11.053287982940674,63.75390625,58

IDDfs,7,65.80238962173462,110.9921875,51

A*,1,0.001997232437133789,111.02734375,6

A*,2,0.1421360969543457,111.03125,23

A*,3,0.0019979476928710938,111.0390625,8

A*,4,0.7053971290588379,111.2734375,19

A*,5,0.08841514587402344,111.27734375,21

A*,6,2.3993875980377197,110.296875,40

A*,7,136.44007682800293,72.36328125,46

Uniform,1,0.003913402557373047,73.0234375,6

Uniform,2,0.6077620983123779,73.13671875,23

Uniform,3,0.00495147705078125,73.19921875,8

Uniform,4,385.5255608558655,80.125,19

Uniform,5,23.38492202758789,79.07421875,21

IDA*,1,0.002004384994506836,56.0625,6

IDA*,2,0.397113561630249,56.6328125,23

IDA*,3,0.003850698471069336,56.7890625,8

IDA*,3,0.004000663757324219,55.94921875,8

IDA*,4,0.4561619758605957,56.6875,19

IDA*,5,0.16112065315246582,56.69140625,21

IDA*,6,16.772225618362427,56.69921875,40

IDA*,7,476.38705039024353,56.8203125,46

Dfs,4,2.5091357231140137,72.21484375,903
Uniform,4,473.636839389801,78.15234375,19
Bfs,1,0.0010051727294921875,55.703125,6
Bfs,2,0.030466079711914062,57.05859375,23
Bfs,3,0.0035202503204345703,57.3515625,8
Bfs,4,0.39362597465515137,63.78125,19
Bfs,5,0.1005244255065918,63.83203125,21
Bfs,6,1.433953046798706,75.046875,40
Bfs,7,23.81323218345642,298.90625,46
Bfs,7,23.173770666122437,297.33203125,46
Bfs,7,24.87875270843506,297.828125,46
Bfs,7,24.03070378303528,297.5078125,46
Bfs,7,21.461353540420532,297.828125,46
Bfs,7,21.170669555664062,297.50390625,46
Bfs,1,0.0009992122650146484,298.15625,6
Bfs,2,0.02398538589477539,298.40234375,23
Bfs,3,0.0010497570037841797,298.40625,8
Bfs,4,0.2514986991882324,222.21875,19
Bfs,5,0.10581350326538086,175.2265625,21
Bfs,6,1.504838466644287,144.2578125,40
Bfs,7,24.123682498931885,299.265625,46
Weighted A*,7,2.486968517303467,259.125,46
Weighted A*,7,3.6776340007781982,125.28125,46
Weighted A*,2,0.02248549461364746,121.44921875,23
Weighted A*,7,3.6377947330474854,125.6953125,46
Weighted A*,7,3.8312811851501465,125.91015625,46
Weighted A*,7,1.2245824337005615,124.01171875,46
Weighted A*,7,1.2441022396087646,124.125,46
Weighted A*,7,1.2576324939727783,123.65234375,46
Weighted A*,7,1.2099072933197021,123.890625,46
Weighted A*,7,1.1221871376037598,123.91796875,46
Weighted A*,7,1.1971666812896729,123.8671875,46
Weighted A*,7,1.2445075511932373,124.7109375,46
Bfs,1,0.0009999275207519531,57.6328125,6
Bfs,2,0.030602693557739258,58.2578125,23
Bfs,3,0.0009946823120117188,58.3359375,8
Bfs,4,0.2821354866027832,64.75390625,19
Bfs,5,0.09809088706970215,64.81640625,21
Dfs,1,0.0009996891021728516,64.81640625,8
Dfs,6,10.741915225982666,147.5078125,388
IDDfs,1,0.0010051727294921875,147.5078125,6
IDDfs,7,59.585177421569824,132.7578125,51
Bfs,1,0.001085519790649414,128.77734375,6
Bfs,3,0.0010004043579101562,56.00390625,8
Dfs,4,1.642763614654541,73.54296875,903
IDDfs,1,0.0009999275207519531,55.45703125,6
IDDfs,2,0.11769509315490723,56.42578125,23
A*,1,0.0009999275207519531,56.73828125,6
A*,3,0.0010082721710205078,56.73828125,8
A*,4,0.01633596420288086,57.14453125,19
Uniform,1,0.0030863285064697266,57.19140625,6
Uniform,2,0.7343213558197021,56.72265625,23
Greedy,4,0.010780096054077148,57.3359375,19
Greedy,5,0.0069141387939453125,57.50390625,21
Weighted A*,4,0.01059412956237793,57.5,19
Uniform,5,26.08868908882141,63.96484375,21
Greedy,3,0.0009436607360839844,63.98828125,10
Greedy,3,0.0,64.5,10
Weighted A*,3,0.000997781753540039,56.2421875,8
Weighted A*,4,0.010328054428100586,56.98046875,19
IDA*,3,0.003516674041748047,56.984375,8
